symbol,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
USTC,0.012238003324505626,3891176.35466325,-38.0806,0.09615388,-1.59444172,-3.70418998,4.13430654,-17.22192461,0.02452012,119775733.52543418,0.0111,119849266.13,,2023-10-03T22:49:00.000Z
KDA,0.4728043596586726,1237745.06310868,-35.7814,-0.18222956,-0.6189767,0.51288376,5.26253008,-8.38965771,-21.36037268,117972095.69769605,0.0109,472804359.66,,2023-10-03T22:49:00.000Z
CKB,0.00267882147115485,1378569.47272396,-13.7723,-0.34224321,-2.33982824,-1.59568318,0.71653422,-5.45031712,-10.69099142,113654615.40059194,0.0105,115365757.03,,2023-10-03T22:49:00.000Z
KNC,0.6568991550492657,21517877.99723116,-17.5146,-0.81056342,-2.49676444,-8.77068045,29.52790453,-2.41788036,17.31561023,112260815.25978068,0.0104,165736675.01,,2023-10-03T22:49:00.000Z
BORA,0.11271564609150851,2338704.50132434,17.989,-0.09225576,-0.29447116,2.58063056,-0.83653905,-20.90148121,-19.08285505,112011173.30343658,0.0104,135906890.27,,2023-10-03T22:49:00.000Z
STPT,0.05623428181738556,13408095.65168542,-44.3753,-0.41215737,-3.42898837,-9.60336278,29.44881279,25.21001941,40.74125573,109230609.6035499,0.0101,109230609.6,,2023-10-03T22:49:00.000Z
ZEN,7.576876460820698,6379705.06750695,-25.1722,-0.59348529,-6.49181266,0.2954836,4.28640321,-17.28434196,-7.29727375,107519996.90562128,0.0099,159114405.68,,2023-10-03T22:49:00.000Z
SKL,0.02148285395010197,6038620.48721408,-9.4556,-0.15068134,-3.0092739,-1.41737067,5.56627202,-19.19320784,-24.02985406,106970706.19714314,0.0099,150379977.65,,2023-10-03T22:49:00.000Z
FLUX,0.33055279004972576,6274867.16691664,-42.9922,-0.56965657,-0.13069472,3.7470636,8.23643204,-12.60402371,-24.44068553,105404348.59900562,0.0098,145443227.62,,2023-10-03T22:49:00.000Z
GAL,1.194237009105893,6917830.7229856,-29.1736,-0.27309368,-2.18475374,-11.86850921,6.4220242,3.39111935,-1.66914016,103801487.94991326,0.0096,238847401.82,,2023-10-03T22:49:00.000Z
DGB,0.00626950889355355,1803051.69071117,-30.2875,-0.14448802,-1.43656197,0.11478644,-5.73437224,-20.61652332,-20.79060796,103714624.81115119,0.0096,131659686.76,,2023-10-03T22:49:00.000Z
DAO,0.7135801446164937,666284.50052528,-35.6548,0.00854929,-0.53569102,-1.28804537,-3.02365251,-11.50037483,-15.63122646,102714531.77346887,0.0095,222637005.12,,2023-10-03T22:49:00.000Z
UMA,1.366393085637815,5190613.74759392,-13.7659,-0.02765858,-1.55411813,0.5855785,0.91008477,-12.71022655,-14.83699497,101399653.64557652,0.0094,157851749.01,,2023-10-03T22:49:00.000Z
ACH,0.01471891525645423,6977230.14641895,-25.814,-0.33834407,-0.68892018,-6.61901211,13.86899181,-14.75410862,-23.68132538,100320382.29359168,0.0093,147189152.56,,2023-10-03T22:49:00.000Z
MOB,0.5087089014395769,1469009.87293333,-67.0797,-0.10751349,-5.73357612,-1.61554957,-5.3874602,-30.63398889,-18.60361434,99343781.97579947,0.0092,127177225.36,,2023-10-03T22:49:00.000Z
LQTY,1.0557644393282533,40614010.84082207,-56.8453,-0.98743467,-0.7276035,19.34088217,29.57039676,1.19611287,12.63754309,98855401.28154391,0.0091,105576443.93,633090569.99196,2023-10-03T22:49:00.000Z
CFG,0.273878667171194,592875.50730421,25.4874,0.96098671,-17.34966485,-10.1887489,18.78575289,-10.1180947,-10.72718045,98668362.04787856,0.0091,117770873.24,,2023-10-03T22:49:00.000Z
CELR,0.01271821941733655,3374901.30740816,19.8288,-0.28045347,2.5874419,3.92653924,13.27631545,-9.65297953,-23.73066427,98482566.83419968,0.0091,127182194.17,,2023-10-03T22:49:00.000Z
LSK,0.748587217687929,1517254.14059028,-43.3714,-0.0288696,-0.34904463,3.94217868,6.80046574,-13.36487058,-8.08708429,96493225.12344967,0.0089,108409482.35,,2023-10-03T22:49:00.000Z
CTSI,0.1293384170332077,2096003.35004934,-49.1691,-0.23671474,-2.18704926,3.04290748,6.90642359,-8.38458481,-15.32395322,96040553.27685633,0.0089,129338417.03,,2023-10-03T22:49:00.000Z
PUNDIX,0.36057268062706693,11075280.46565343,242.4768,-0.039339,-1.19945048,1.68394965,10.25762738,-6.13771031,-4.86574122,93205022.55570044,0.0086,93217643.6,,2023-10-03T22:49:00.000Z
STG,0.45491692837404274,6911517.76818098,-29.5032,-0.20861116,-2.41316955,1.10563823,-12.61013456,-26.21058927,-24.22435529,92957005.21718878,0.0086,454916928.37,,2023-10-03T22:49:00.000Z
RSR,0.0018048198112039825,3124432.31357685,-38.5012,-0.3140789,-2.59036944,-0.07165815,6.14163486,-5.73455592,-20.80383193,91323882.44692151,0.0084,180481981.12,,2023-10-03T22:49:00.000Z
API3,1.0532067646271817,6156196.14819709,-20.3215,-0.26869142,-5.7184195,-3.725566,-7.44925017,16.60891057,-0.50104763,91020211.84206147,0.0084,131992703.86,,2023-10-03T22:49:00.000Z
SNT,0.023231605904506514,1948113.28702516,-31.0084,0.0143551,-0.18532954,3.65099339,8.86315513,-7.86544781,-5.25925902,89735195.038368,0.0083,158088062.13,,2023-10-03T22:49:00.000Z
PLA,0.15755109793473548,21049510.3917431,393.4302,0.94447917,3.63050547,5.94895432,9.55826421,-6.80087891,-0.12714825,88248886.47056983,0.0082,110285768.55,,2023-10-03T22:49:00.000Z
RBN,0.1612512922055761,312146.40424691,13.9601,-0.05284169,0.45732639,-0.09091076,-18.60607018,-21.45701842,-14.14457498,86607011.30949731,0.008,161251292.21,,2023-10-03T22:49:00.000Z
