symbol,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
ZEC,26.800520409671687,38737183.42263139,-2.166,-0.46396848,-1.68477653,2.32210133,8.46305018,-7.9422889,-15.62065092,437606099.88897943,0.0405,562810928.6,,2023-10-03T22:49:00.000Z
CRV,0.48367897634529133,27343449.52521197,-11.8788,-0.32043706,-2.59779449,-6.95088774,11.72201999,-21.22472075,-38.3601383,426170252.22914165,0.0394,1597606313.86,4327143445.31388,2023-10-03T22:49:00.000Z
APE,1.1479916285207454,48905994.1310495,-47.2057,-0.07516989,-2.14830746,3.57375503,-15.41449157,-36.07952824,-44.54843737,423142539.32506853,0.0392,1147991628.52,,2023-10-03T22:49:00.000Z
RPL,21.216874912595443,3417032.22043709,-11.778,-0.16263202,-3.54858016,-1.63367171,-2.45026876,-23.89341518,-44.59668736,419419855.0598073,0.0388,419419855.06,,2023-10-03T22:49:00.000Z
MIOTA,0.1505946990465493,3784940.42942994,-24.966,-0.37914488,0.32654197,1.52089956,-10.52960644,-11.00429398,-17.55175518,418582526.45915496,0.0387,418582526.46,,2023-10-03T22:49:00.000Z
FXS,5.546382144341738,19586682.09610306,-29.9846,0.47296252,2.76960874,-5.37010543,2.63674946,-11.80200593,-11.63730052,411838748.15701574,0.0381,552871667.27,,2023-10-03T22:49:00.000Z
SUI,0.4489776650308057,111239128.19731909,58.4596,0.05179331,-3.56195703,2.54683448,-7.15867592,-23.83960506,-31.90834421,386297222.0515964,0.0357,4489776650.31,,2023-10-03T22:49:00.000Z
HT,2.3708146950902313,29130304.04921411,3.6579,-0.08842015,-0.34882632,-2.37942649,0.13488904,-10.54107436,-12.83465828,384626381.39617616,0.0356,1185407347.55,,2023-10-03T22:49:00.000Z
GALA,0.01540932331275481,119646810.47324051,65.364,-0.33750986,5.06684788,15.94336348,-8.19748716,-30.48989509,-36.24030099,379341458.4732813,0.0351,770466165.64,,2023-10-03T22:49:00.000Z
DYDX,2.0162057787987475,48553038.22861031,-19.2996,-0.46401589,-1.19229573,8.1932316,-1.39694531,2.53465771,6.78346887,370509109.4165741,0.0343,2016205778.8,,2023-10-03T22:49:00.000Z
BTT,3.8583743790004227e-07,8156657.7058465,-23.3891,0.79717025,-0.39660597,0.72329406,-10.62502373,-16.63851142,-19.89780916,367094116.60257626,0.034,381979063.52,,2023-10-03T22:49:00.000Z
MINA,0.3728270134057094,5148700.40862725,-42.9446,-0.32837383,-1.7721716,0.89592743,0.68974889,-13.38008174,-22.89942363,364834278.4868556,0.0338,402833627.54,,2023-10-03T22:49:00.000Z
KLAY,0.1136397950054727,12516639.0870679,75.0565,0.08330706,-0.79207517,1.46227584,-14.39959092,-25.98912805,-34.50343317,361538402.6173872,0.0335,656328954.65,,2023-10-03T22:49:00.000Z
CSPR,0.03163662814541039,3086994.1576801,-15.9234,-0.30463382,-1.45663581,0.62742889,-10.23234428,-21.93389204,-17.07657515,359464935.398318,0.0333,381411499.05,,2023-10-03T22:49:00.000Z
GT,3.7426759834524486,899528.9697718,-42.6982,-0.14718322,-0.31963235,-2.70517364,-4.33046256,-9.39997714,-13.73164901,359459514.09645784,0.0333,1122802795.04,,2023-10-03T22:49:00.000Z
GMX,38.841082168118305,12772395.59577069,-34.7422,-0.21982027,-2.25928848,10.27306793,19.7481563,-24.86322104,-30.09783281,351996029.9735417,0.0326,366978255.15,,2023-10-03T22:49:00.000Z
COMP,44.35533328791245,38207914.36377735,-30.718,0.0562815,-3.48429119,13.54964439,10.2355472,-22.88754904,-23.66286804,350605301.0936662,0.0324,443553332.88,1126331697.71589,2023-10-03T22:49:00.000Z
LUNC,6.011844369872255e-05,11250249.63213671,-38.4137,0.28841372,-2.10401052,-2.34469049,0.93232513,-22.9652577,-26.92931396,349098300.4947359,0.0323,410822785.94,,2023-10-03T22:49:00.000Z
TWT,0.7868388759137819,11232646.31738211,-11.5275,-1.44935766,-0.65995462,3.11679,-2.53034271,-12.14268769,-8.38187118,327836338.96558964,0.0304,786838875.91,,2023-10-03T22:49:00.000Z
NFT,3.257250854459832e-07,15382170.45325944,39.6254,0.97994114,0.37557876,3.20358002,4.10830746,2.55606388,-4.94217357,322502258.2040595,0.0298,325721828.2,,2023-10-03T22:49:00.000Z
DASH,27.009591586619447,30988469.77185946,-10.19,-0.3806897,-0.99589252,2.03438615,5.95138725,-12.25587469,-22.76976874,310091865.53025424,0.0287,510481280.99,,2023-10-03T22:49:00.000Z
WOO,0.17459388975279055,8544277.63378536,-18.7625,-0.08127712,-1.11233952,6.12541722,7.67862927,-7.3415343,-26.77336127,306413294.0823193,0.0284,392951284.51,,2023-10-03T22:49:00.000Z
NEXO,0.5444204202341707,2716382.26009834,11.3541,-0.37537908,-2.40960142,-1.05775961,-6.93678095,-15.48400383,-14.01621411,304875441.3197602,0.0282,544420420.23,,2023-10-03T22:49:00.000Z
PEPE,7.256263656286796e-07,52012145.54234717,-45.7615,-0.02555162,-2.29775687,4.76179666,-8.87271685,-37.58167595,-55.46488119,284293153.7896604,0.0263,305263755.76,,2023-10-03T22:49:00.000Z
AR,4.129877870823224,16897329.81136268,78.2703,-1.01217112,-3.49552025,-0.18875734,1.17367919,-20.58948656,-28.75300072,270317790.18426937,0.025,272571939.47,,2023-10-03T22:49:00.000Z
ROSE,0.041257788882717944,6221291.96980245,-40.5005,-0.32791781,-1.0808283,0.49384881,4.2987962,-11.83193953,-16.60521479,269919491.0404624,0.025,412577888.83,,2023-10-03T22:49:00.000Z
1INCH,0.2605974124787025,14758059.03872925,-42.5712,-0.22598807,-2.58180314,-1.66411531,11.09508711,-14.38147678,-16.94809229,269331451.4985227,0.0249,390896118.72,,2023-10-03T22:49:00.000Z
ZIL,0.016898496169859875,13741701.85564441,-35.4372,-0.08773537,-1.64405268,0.43489528,5.09743412,-16.60233218,-22.63635856,268140258.3257288,0.0248,306627292.81,,2023-10-03T22:49:00.000Z
FLR,0.010818298242085229,2699330.49965135,-10.5335,0.28409602,-0.91267085,-0.88771001,-18.17992682,-24.92218079,-23.47187341,265722093.50147387,0.0246,1087885769.07,,2023-10-03T22:49:00.000Z
BAT,0.1755245534331976,72627777.95729117,204.7162,-0.22600751,-0.21922995,4.61532752,5.46880414,-15.66642035,-11.82104901,261526847.19944838,0.0242,263286830.15,,2023-10-03T22:49:00.000Z
CAKE,1.1860151223366118,27913816.04888479,-35.1086,-0.33163941,-4.21029821,3.12236329,-3.68467456,-21.09276521,-21.54291102,258470243.12952515,0.0239,889511341.75,1371713693.1266003,2023-10-03T22:49:00.000Z
